title,journal,authors,year
Learning and Wage Dynamics.," Quarterly Journal of Economics 111,4 ","Farber, Henry S. and Robert Gibbons. ",1996
The Gender Gap: Looking at the Entire Distribution., Journal of Interdisciplinary Economics published online ,"Farja, Yanay, Avi Tillman and Ori Zax. ",2020
The Detailed Age Trajectory of Oral Vocabulary Knowledge: Differences by Class and Race.," Social Science Research 33,3 ","Farkas, George and Kurt Beron. ",2004
"Cognitive Skill, Skill Demands of Jobs, and Earnings Among Young European American, African American, and Mexican American Workers."," Social Forces 75, 3 ","Farkas, George, Paula A. England, Keven Vicknair and Barbara Stanek Kilbourne. ",1997
"Appropriate Tests of Racial Wage Discrimination Require Controls for Cognitive Skill: Comment on Cancio, Evans, and Maume."," American Sociological Review 61,4 ","Farkas, George and Keven Vicknair. ",1996
The Pension Mix For Women In Middle and Late Life: The Changing Employment Relationship.," Social Forces 76,3 ","Farkas, Janice I. and Angela M. O'Rand. ",1998
Parental Religious Service Attendance and Adolescent Substance Use.," Journal of Religion and Spirituality in Social Work: Social Thought 32,1 ","Farmer, Antoinette and Kristen M. Brown. ",2013
A Parametric Control Function Approach to Estimating the Returns to Schooling in the Absence of Exclusion Restrictions: An Application to the NLSY.," Empirical Economics 44,1 ","Farré, Lídia, Roger Klein and Francis Vella. ",2013
The Intergenerational Transmission of Gender Role Attitudes and its Implications for Female Labour Force Participation.," Economica 80, 318 ","Farré, Lídia and Francis Vella. ",2013
Issues for Manpower Research on Youth in the Transition from School to Work.," Journal of Economics and Business 32,2 ","Featherman, David L. ",1980
Retrospective Longitudinal Research: Methodological Considerations.," Journal of Economics and Business 32,2 ","Featherman, David L. ",1980
Adopted Adults: Comparisons with Persons Raised in Conventional Families.," Marriage and Family Review 25,3/4 ","Feigelman, William. ",1997
Cigarette Smoking Among Former Military Service Personnel. A Neglected Social Issue.," Preventive Medicine 23,2 ","Feigelman, William. ",1994
Importance of Temporary Layoffs: An Empirical Analysis., Brookings Papers on Economic Activity 3 ,"Feldstein, Martin S. ",1975
A Dynamic Analysis of Women's Employment Exits.," Demography 21,2 ","Felmlee, Diane Helen. ",1984
"Causes and Consequences of Women's Employment Discontinuity, 1967-1973."," Work and Occupations 22,2, ","Felmlee, Diane Helen. ",1995
Returning to School and Women's Educational Attainment.," Sociology of Education 61,1 ","Felmlee, Diane Helen. ",1988
The Dynamic Interdependence of Women's Employment and Fertility.," Social Science Research 22,4 ","Felmlee, Diane Helen. ",1993
The Dynamics of Women's Job Mobility.," Work and Occupations 11,3 ","Felmlee, Diane Helen. ",1984
Women's Job Mobility Processes Within and Between Employers.," American Sociological Review 47,1 ","Felmlee, Diane Helen. ",1982
Multiwave Analysis of Retest Artifact in the National Longitudinal Survey of Youth Drug Use.," Drug and Alcohol Dependence 62,3 ","Fendrich, Michael and Julia Yun Soo Kim. ",2001
Inconsistencies in Lifetime Cocaine and Marijuana Use Reports: Impact on Prevalence and Incidence.," Addiction 90,1 ","Fendrich, Michael and Mary Ellen Mackesy-Amiti. ",1995
Diminished Lifetime Substance Use Over Time: A Validated Inquiry Into Differential Underreporting.," Public Opinion Quarterly 58,1 ","Fendrich, Michael and Connie Vaughn. ",1994
Bayesian Regularized Multivariate Generalized Latent Variable Models.," Structural Equation Modeling: A Multidisciplinary Journal 24,3 ","Feng, Xiang-Nan, Hai-Tian Wu and Xin-Yuan Song. ",2017
Long-Term Consequences of Nontraditional Employment.," Monthly Labor Review 121,5 ","Ferber, Marianne A. and Jane Waldfogel. ",1998
How Far Up the River? Criminal Justice Contact and Health Outcomes.," Social Currents 7,1 ","Fernandes, April. ",2020
Black-White Disparities in Test Scores: Distributional Characteristics.," Review of Black Political Economy 43,2 ","Fernandes, Ronald, Inhyuck Steve Ha, Susan Williams McElroy and Samuel L. Myers. ",2016
Unemployment Insurance Eligibility and the Transition from School to Work in Canada and the United States.," Journal of Business and Economic Statistics 15,2 ","Ferrall, Christopher. ",1997
Cause Indicator Models for the Cognitive Component of the Home Observation for Measurement of the Environment-Short Form.," Assessment 2,4 ","Ferron, John, Nicholas Ng'Andu and Patricia Garrett. ",1995
Evaluating the Dimensional Structure of the Home Observation for Measurement of the Environment--Short Form.," Educational and Psychological Measurement 54,2 ","Ferron, John, Nicholas Ng'Andu and Patricia Garrett. ",1994
Minimum Drinking Age Laws and Infant Health Outcomes.," Journal of Health Ecomomics 28,3 ","Fertig, Angela R. and Tara Elizabeth Watson. ",2009
Great Equalizer or Great Selector? Reconsidering Education as a Moderator of Intergenerational Transmissions., Sociology of Education published online ,"Fiel, Jeremy E. ",2020
Mothers' Involuntary Job Loss and Children's Academic Achievement.," Journal of Labor Research 37,1 ","Filiz, S. Elif. ",2016
Determinants and Consequences of Retirement Among Men of Different Races and Economic Levels.," Journal of Gerontology 40,1 ","Fillenbaum, Gerda G., Linda K. George and Erdman B. Palmore. ",1985
Differential Test Performance in the American Educational System: The Impact of Race and Gender.," Journal of Sociology and Social Welfare 29,3 ","Finch, Stephen J., Harvey A. Farberman, Jordan Neus, Richard E. Adams and Deirdre Price-Baker. ",2002
"Association of Virginity at Age 18 with Educational, Economic, Social, and Health Outcomes in Middle Adulthood."," Adolescent and Family Health 3,4 ","Finger, Reginald, Tonya Thelen, John T. Vessey, Joanna K. Mohn and Joshua R. Mann. ",2005
Body Mass Trajectories through Mid-Life among Adults with Class I Obesity.," Surgery for Obesity and Related Diseases 9,4 ","Finkelstein, Eric A., Truls Ostbye and Rahul Malhotra. ",2013
The Effect of Urbanization on Labor Turnover.," Journal of Regional Science 48,2 ","Finney, Miles M. and Janet E. Kohlhase. ",2008
Nontraditional Occupational Aspirations and Attainment of Potential Female Recruits.," Feminist Issues 14,2 ","Fiorino, Susan. ",1994
Response to Nielsen's Review of Inequality by Design.," Social Forces 76,4 ","Fischer, Claude S., Michael Hout, Martin Sanchez Jankowski, Samuel Lucas, Ann Swidler, Kim Voss and Richard Arum. ",1998
Adolescents' Perceived Risk of Dying.," Journal of Adolescent Health 46,3 ","Fischhoff, Baruch, Wändi Bruine de Bruin, Andrew M. Parker, Susan G. Millstein and Bonnie L. Halpern-Felsher. ",2010
Teen Expectations for Significant Life Events .," Public Opinion Quarterly 64,2 ","Fischhoff, Baruch, Andrew M. Parker, Wändi Bruine de Bruin, Julie Downs, Claire Palmgren, Robyn Dawes and Charles F. Manski. ",2000
"Labor Force Earnings, and College Choice of Young Women: An Examination of Selectivity Bias and Comparative Advantage."," Economics of Education Review 1,2 ","Fishe, Raymond P. H., Robert P. Trost and Phillip M. Lurie. ",1981
Why Has Home Ownership Fallen Among the Young? .," International Economic Review 52,3 ","Fisher, Jonas D. M. and Martin Gervais. ",2011
"Discrimination Theory, Labor Turnover, and Racial Unemployment Differentials."," Journal of Human Resources 13,2 ","Flanagan, Robert J. ",1978
"Labor Force Experience, Job Turnover, and Racial Wage Differentials."," Review of Economics and Statistics 56,4 ","Flanagan, Robert J. ",1974
The Relationship between Participation in Different Types of Training Programs and Gainful Employment for Formerly Incarcerated Individuals.," Human Resource Development Quarterly 29,3 ","Flatt, Candace and Ronald L. Jacobs. ",2018
Mother's Home Time and the Production of Child Quality.," Demography 14,2 ","Fleisher, Belton M. ",1977
"Fertility, Women's Wage Rates, and Labor Supply."," American Economic Review 69,1 ","Fleisher, Belton M. and George F. Rhodes. ",1979
Individual Labor Force Decisions and Unemployment in Local Labor Markets.," Review of Economics and Statistics 61,4 ","Fleisher, Belton M. and George F. Rhodes. ",1979
Unemployment and Labor Force Participation of Married Men and Women: A Simultaneous Model.," Review of Economics and Statistics 58,4 ","Fleisher, Belton M. and George F. Rhodes. ",1976
Predicting the Influence of Demographic Differences and Schooling Experience in Adolescence on Occupational Choice in Adulthood.," Career and Technical Education Research 37,2 ","Fletcher, Edward Charles, Jr. ",2012
A Longitudinal Analysis of Young Adult Pathways to STEMH Occupations.," Career and Technical Education Research 42,1 ","Fletcher, Edward Charles, Jr. and Will Tyson. ",2017
The Relationship of High School Curriculum Tracks to Degree Attainment and Occupational Earnings.," Career and Technical Education Research 34,2 ","Fletcher, Edward Charles, Jr. and Chris Zirkle. ",2010
Dynamic and Heterogeneous Effects of Sibling Death on Children's Outcomes., Proceedings of the National Academy of Sciences ,"Fletcher, Jason, Marian Vidal-Fernández and Barbara L. Wolfe. ",PNAS
Child Mental Health and Human Capital Accumulation: The Case of ADHD Revisited.," Journal of Health Economics 27,3 ","Fletcher, Jason and Barbara L. Wolfe. ",2008
Sex Similarities in Occupational Status Attainment: Are the Results Due to the Restriction of the Sample to Employed Women?," Social Science Research 7,2 ","Fligstein, Neil and Wendy Wolf. ",1978
Equilibrium Wage and Dismissal Processes.," Journal of Business and Economic Statistics 15,2 ","Flinn, Christopher Jay. ",1997
Wages and Job Mobility of Young Workers.," Journal of Political Economy 94,3 ","Flinn, Christopher Jay. ",1986
Are Unemployment and Out of the Labor Force Behaviorally Distinct Labor Force States?," Journal of Labor Economics 1,1 ","Flinn, Christopher Jay and James J. Heckman. ",1983
New Methods for Analyzing Structural Models of Labor Force Dynamics.," Journal of Econometrics 18,1 ","Flinn, Christopher Jay and James J. Heckman. ",1982
Introduction to the Journal of Human Resources Special Issue on Data Quality .," Journal of Human Resources 36,3 ","Flinn, Christopher Jay, Richard Kulka and Robert A. Moffitt. ",2001
"Search, Matching and Training.", Review of Economic Dynamics 25 ,"Flinn, Christopher, Ahu Gemici and Steven Laufer. ",2017
Interpreting Degree Effects in the Returns to Education.," Journal of Human Resources 45,2 ","Flores-Lagunes, Alfonso and Audrey L. Light. ",2010
"Motherhood and Employment Among Whites, Hispanics, and Blacks: A Life Course Approach."," Journal of Marriage and Family 80,1 ","Florian, Sandra M. ",2018
Racial Variation in the Effect of Motherhood on Women's Employment: Temporary or Enduring Effect?, Social Science Research 73 ,"Florian, Sandra M. ",2018
"Mental Ability, Schooling, and Early Career Achievement of Low-IQ and Average-IQ Young Men."," American Journal of Mental Deficiency 84,5 ","Flynn, Robert J. ",1980
Family Instability and Child Well-Being.," American Sociological Review 72,2 ","Fomby, Paula and Andrew J. Cherlin. ",2007
Family Structure Instability and Mobility: The Consequences for Adolescents’ Problem Behavior.," Social Science Research 42,1 ","Fomby, Paula and Christie A. Sennott. ",2013
"Cohabitation, Relationship Quality, and Desistance From Crime."," Journal of Marriage and Family 76,3 ","Forrest, Walter. ",2014
"Life-Course Transitions, Self-Control and Desistance from Crime."," Criminology and Criminal Justice 11,5 ","Forrest, Walter and Carter Hay. ",2011
Development of Impulsivity and Risk‐seeking: Implications for the Dimensionality and Stability of Self‐control.," Criminology 57,3 ","Forrest, Walter, Carter Hay, Alex O. Widdowson and Michael Rocque. ",2019
"Validity and Stability of Self-Reported Health among Adolescents in a Longitudinal, Nationally Representative Survey."," Pediatrics 123,3 ","Fosse, Nathan Edward and Steven A. Haas. ",2009
The Value of Reanalysis: TV Viewing and Attention Problems.," Child Development 81,1 ","Foster, E. Michael and Stephanie Watkins. ",2010
Does Female Breadwinning Make Partnerships less Healthy or less Stable?, Journal of Population Economics published online ,"Foster, Gigi and Leslie S. Stratton. ",2020
A Joint Dynamic Model of Fertility and Work of Married Women.," Journal of Labor Economics 20,2 ","Francesconi, Marco. ",2002
Labour Force Transitions among Married Women in the USA.," Labour: Review of Labour Economics and Industrial Relations 13,4 ","Francesconi, Marco. ",1999
Testing Censoring Point Independence.," Journal of Business and Economic Statistics 37,3 ","Frandsen, Brigham R. ",2019
The Distribution of the Unemployment Burden: Do the Last Hired Leave First?," Review of Economics and Statistics 60,3 ","Frank, Robert H. and Richard T. Freeman. ",1978
Attitudes and Work Performance Among Young Men During the Transition from School to Work.," American Economist 26,1 ","Frantz, Roger Scott. ",1982
Internal-External Locus of Control and Labor Market Performance: Empirical Evidence Using Longitudinal Survey Data.," Psychology: A Journal of Human Behavior 17,3 ","Frantz, Roger Scott. ",1980
The Effect of Early Labor Market Experience upon Internal-External Locus of Control Among Young Male Workers.," Journal of Youth and Adolescence 9,3 ","Frantz, Roger Scott. ",1980
Employer-provided Training: Results from a New Survey.," Monthly Labor Review 118,5 ","Frazis, Harley Jay, Diane E. Herz and Michael W. Horrigan. ",1995
"Reexamining the Returns to Training: Functional Form, Magnitude, and Interpretation."," Journal of Human Resources 40,2 ","Frazis, Harley Jay and Mark A. Loewenstein. ",2005
Worker Training: What We've Learned from the NLSY79.," Monthly Labor Review 128,2 ","Frazis, Harley Jay and James R. Spletzer. ",2005
Men's Income Trajectories and Physical and Mental Health at Midlife.," American Journal of Sociology 124,5 ","Frech, Adrianne and Sarah Damaske. ",2019
The Relationships between Mothers’ Work Pathways and Physical and Mental Health.," Journal of Health and Social Behavior 53,4 ","Frech, Adrianne and Sarah Damaske. ",2012
Marital Biography and Mothers' Wealth.," Journal of Family and Economic Issues 38,2 ","Frech, Adrianne, Matthew A. Painter and Jonathan Edward Vespa. ",2017
