title,keywords,authors,journal,year
Changes in the Distribution of Wage Earnings in the United States and Germany During the 1980s,"Keywords: Income, International Studies, Labor Market & Outcomes","Burkhauser, Richard V. and Holtz-Eakin, Douglas.", Viertel Jahrs Hefte Zur Wirtschaftsforschung, 1994
Dynamics of the Intergenerational Transmission of Welfare Receipt in the United States,"Keywords: Aging, Gender Differences, Government Transfers, Intergenerational Influences & Transfers, Poverty","Pepper, John V.", Journal of Family and Economic Issues, 1995
"Early Family Formation Linked to School Dropout, Especially Among Blacks","Keywords: Education Attainment & Achievement, Family Formation & Composition, Gender Differences, Racial-Ethnic Differences","Turner, R.", Family Planning Perspectives, 1995
The Effect of Divorce on Intergenerational Transfers: New Evidence,"Keywords: Children, Family Formation & Composition, Intergenerational Influences & Transfers","Furstenberg Jr., Frank F., Hoffman, Saul, and Shrestha, Laura.", Demography, 1995
"The Effect of Incomes, Wages, and AFDC Benefits on Marital Disruption","Keywords: Family Formation & Composition, Government Transfers, Labor Market & Outcomes, Poverty","Hoffman, Saul and Duncan, Greg J.", The Journal of Human Resources, 1995
Effects of Childhood Poverty on Productivity Later in Life: Implications for Public Policy,"Keywords: Children, Labor Market & Outcomes, Life Course, Poverty","Hill, Martha S. and Sandfort, Jodi R.", Children and Youth Services Review, 1995
"Elderly Assets, Medicaid Policy, and Spend-Down in Nursing Homes","Keywords: Aging, Health, Disability & Mortality, Intergenerational Influences & Transfers, Wealth, Assets & Pensions","Norton, Edward C.", The Review of Income and Wealth, 1995
A Class of Binary Response Models for Grouped Duration Data,Keywords: Statistical & Econometric Methods,"Sueyoshi, Glenn.", Journal of Applied Econometrics, 1995
"Cohort Trends in the Lifetime Distribution of Female Family Headship in the United States, 1968-1985","Keywords: Family Formation & Composition, Gender Differences","Moffitt, Robert and Rendall, Michael S.", Demography, 1995
College Quality and Overeducation,"Keywords: Education Attainment & Achievement, Labor Market & Outcomes","Robst, John.", Economics of Education Review, 1995
Imperfect Insurance and Differing Propensities to Consume across Households,"Keywords: Expenditures, Savings & Consumption, Wealth, Assets & Pensions","McCarthy, Jonathan.", Journal of Monetary Economics, 1995
The Importance of Investor Heterogeneity and Financial Market Imperfections for the Behavior of Asset Prices,"Keywords: Expenditures, Savings & Consumption, Income, Labor Market & Outcomes, Statistical & Econometric Methods, Wealth, Assets & Pensions","Heaton, John and Lucas, Deborah.", Carnegie-Rochester Conference Series on Public Policy, 1995
Precautionary Saving and Social Insurance,"Keywords: Aging, Expenditures, Savings & Consumption, Government Transfers, Income, Wealth, Assets & Pensions","Hubbard, R. Glenn, Skinner, Jonathan, and Zeldes, Stephen P.", Journal of Political Economy, 1995
Rags to Rags: Poverty and Mobility in the United States,"Keywords: Aging, Government Transfers, Intergenerational Influences & Transfers, Poverty","Corcoran, Mary.", Annual Review of Sociology, 1995
Real Wages and the Business Cycle,"Keywords: Income, Labor Market & Outcomes","Abraham, Katharine G. and Haltiwanger, John.", Journal of Economic Literature, 1995
Semi-parametric Estimation of Simultaneous Equations with Limited Dependent Variables: Case Study of Female Labor Supply,"Keywords: Gender Differences, Labor Market & Outcomes, Statistical & Econometric Methods","Lee, Myoung-Jae.", Journal of Applied Econometrics, 1995
"Smoking, Self-Selection and Absenteeism","Keywords: Aging, Gender Differences, Health, Disability & Mortality, Labor Market & Outcomes","Leigh, J. Paul.", The Quarterly Review of Economics and Finance, 1995
Transfer Behavior in the Health & Retirement Study: Measurement & the Redistribution of Resources Within the Family,"Keywords: Aging, Health, Disability & Mortality, Income, Retirement","McGarry, Kathleen and Schoeni, Robert F.", The Journal of Human Resources, 1995
'Til Death Do Us Part: Marital Disruption and Mortality,"Keywords: Aging, Family Formation & Composition, Health, Disability & Mortality","Lillard, Lee and Waite, Linda J.", American Journal of Sociology, 1995
The Timing of First Home Ownership: Whose Income Matters the Most?& Prevision,"Keywords: Gender Differences, Housing, Income","Duncan, Greg J., Boisjoly, Johanne, and Hofferth, Sandra L.",The Timing of First Home Ownership: Whose Income Matters the Most? Economie & Prevision, 1995
Why Teens Do Not Benefit from Work Experience Programs: Evidence from Brother Comparisons,"Keywords: Labor Market & Outcomes, Racial-Ethnic Differences","Foster, E. Michael.", Journal of Policy Analysis and Management, 1995
Holding On and Letting Go: Residential Mobility During Widowhood,"Keywords: Aging, Family Formation & Composition, Gender Differences, Health, Disability & Mortality, Housing, Neighborhoods & Geographic Mobility","Chevan, Albert.", Research on Aging, 1995
Household Poverty in Rural and Metropolitan Core Areas of the United States,"Keywords: Neighborhoods & Geographic Mobility, Poverty","Brown, David L. and Hirschl, Thomas A.", Rural Sociology, 1995
Mobility Patterns of Older Homeowners: Are Older Homeowners Trapped in Distressed Neighborhoods?,"Keywords: Aging, Housing, Neighborhoods & Geographic Mobility","Burkhauser, Richard V., Butrica, Barbara A., and Wasylenko, Michael J.",Mobility Patterns of Older Homeowners: Are Older Homeowners Trapped in Distressed Neighborhoods? Research on Aging, 1995
An Empirical Study of Intergenerational Transmission of Poverty in the United States,"Keywords: Aging, Intergenerational Influences & Transfers, Labor Market & Outcomes, Poverty, Racial-Ethnic Differences","Rodgers, Joan R.", Social Science Quarterly, 1995
Estimating Substitution Elasticities in Household Production Models,"Keywords: Expenditures, Savings & Consumption, Family Formation & Composition, Food & Nutrition, Time Use & Home Production","Rupert, Peter, Rogerson, Richard, and Wright, Randall.", Economic Theory, 1995
Falling Out of the Home Owner Market,"Keywords: Expenditures, Savings & Consumption, Family Formation & Composition, Housing","Dieleman, F. M., Clark, William A. V., and Deurloo, M. C.", Housing Studies, 1995
Housing Prices and the Savings of Renters,"Keywords: Aging, Housing, Income, Wealth, Assets & Pensions","Sheiner, Louise.", Journal of Urban Economics, 1995
Husbands and Housework: Parity or Parody?,"Keywords: Gender Differences, Time Use & Home Production","Heath, Julia A. and Bourne, W. David.",Husbands and Housework: Parity or Parody? Social Science Quarterly, 1995
The Influence of Nonmarital Childbearing on the Formation of First Marriages,"Keywords: Children, Family Formation & Composition, Government Transfers","Bennett, Neil G., Bloom, David E., and Miller, Cynthia K.", Demography, 1995
The Influence of School Enrollment and Accumulation on Cohabitation and Marriage in Early Adulthood,"Keywords: Education Attainment & Achievement, Family Formation & Composition","Thornton, Arland, Axinn, William G., and Teachman, Jay D.", American Sociological Review, 1995
Is the Behavior of Hours Worked Consistent with Implicit Contract Theory?,Keywords: Labor Market & Outcomes,"Beaudry, Paul and DiNardo, John.", The Quarterly Journal of Economics, 1995
The Loss of Earnings Capability from Disability/Health Limitations: Toward a New Social Indicator,"Keywords: Aging, Health, Disability & Mortality, Labor Market & Outcomes, Wellbeing","Buron, L., Haveman, Robert, Hill, S., and Wolfe, Barbara.", The Review of Income and Wealth, 1995
Lost Jobs,Keywords: Labor Market & Outcomes,"Hall, Robert E.", Brookings Papers on Economic Activity, 1995
Male/Female Disparity in Starting Pay,"Keywords: Gender Differences, Labor Market & Outcomes","Becker, Elizabeth and Lindsay, Cotton M.", Southern Economic Journal, 1995
Measurement Error and Earnings Dynamics: Some Estimates From the PSID Validation Study,"Keywords: Labor Market & Outcomes, Survey Methodology","Pischke, Jorn-Steffen.", Journal of Business and Economic Statistics, 1995
Union Contracts and the Life-Cycle/Permanent Income Hypothesis,"Keywords: Aging, Expenditures, Savings & Consumption, Food & Nutrition, Labor Market & Outcomes, Life Course","Shea, John.", American Economic Review, 1995
Unraveling the Tangle of Pathology: The Effect of Spatially Concentrated Joblessness on the Well-Being of African Americans,"Keywords: Family Formation & Composition, Labor Market & Outcomes, Racial-Ethnic Differences","Massey, Douglas S. and Shibuya, Kumiko.", Social Science Research, 1995
The Wage Effects of Overschooling Revisited,"Keywords: Education Attainment & Achievement, Labor Market & Outcomes","Cohn, Elchanan and Khan, Shahina P.", Labour Economics, 1995
Weighting Schemes for Household Panel Surveys,Keywords: Survey Methodology,"Kalton, Graham and Brick, J. Michael.", Survey Methodology, 1995
When is a Family a Family?: Evidence from Survey Data and Implications for Family Policy,Keywords: Family Formation & Composition,"Hill, Martha S.", Journal of Family and Economic Issues, 1995
The Effect of Welfare Laws On the Family,"Keywords: Family Formation & Composition, Government Transfers","Price, Cynthia J.", Marriage & Family Review, 1995
Testing Data for Consistency With Revealed Preference,"Keywords: Expenditures, Savings & Consumption, Statistical & Econometric Methods","Gross, John.", The Review of Economics and Statistics, 1995
The Impact of Pension Benefits On the Distribution of Earned Income,"Keywords: Education Attainment & Achievement, Gender Differences, Income","Benedict, Mary Ellen and Shaw, Kathryn.", Industrial & Labor Relations Review, 1995
A Switching Frontier Model for Imperfect Sample Separation Information: With an Application to Constrained Labor Supply,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods","Douglas, Stratford, Conway, Karen Smith, and Ferrier, Gary D.", International Economic Review, 1995
Precautionary Saving Under Liquidity Constraints: A Decomposition,"Keywords: Expenditures, Savings & Consumption, Statistical & Econometric Methods","Xu, Xiaonian.", International Economic Review, 1995
Community Organization and the Underclass: Exploring New Practice Directions,"Keywords: Neighborhoods & Geographic Mobility, Poverty","Figueira-McDonough, Josefina.", Social Service Review, 1995
Using Household Panels To Study MicroSocial Change,"Keywords: International Studies, Survey Methodology","Scott, Jacqueline.", Innovation: The European Journal of Social Science Research, 1995
Data Sources for Aging Research On Racial and Ethnic Groups,"Keywords: Aging, Racial-Ethnic Differences, Survey Methodology","LaVeist, Thomas A.", The Gerontologist, 1995
"Workers' compensation in the United States: high costs, low benefits","Keywords: Health, Disability & Mortality, Labor Market & Outcomes","Boden, L. I.", Annual Review of Public Health, 1995
Family and Neighborhood Welfare Dependency and Son's Labor Supply,"Keywords: Family Formation & Composition, Government Transfers, Labor Market & Outcomes, Neighborhoods & Geographic Mobility, Poverty, Racial-Ethnic Differences","Corcoran, Mary and Adams, Terry.", Journal of Family and Economic Issues, 1995
Does the Income Tax Affect Marital Decisions?,"Keywords: Family Formation & Composition, Taxes","Alm, James and Whittington, Leslie A.", National Tax Journal, 1995
Housing Affordability: A Comparison of Measures,"Keywords: Housing, Survey Methodology","Combs, E. Raedene, Combs, Bryan A., and Ziebarth, Ann C.", Consumer Interests Annual, 1995
How Much Inequality Can We Explain? A Methodology and An Application To the United States,"Keywords: Income, Statistical & Econometric Methods","Cowell, Frank and Jenkins, Stephen.", The Economic Journal, 1995
Do Unionized Employers Reappropriate Rent Through Worsened Workplace Safety?,"Keywords: Health, Disability & Mortality, Labor Market & Outcomes","Fairris, David.", Eastern Economic Journal, 1995
Explaining Changes in Married Mothers' Employment Over Time,"Keywords: Children, Education Attainment & Achievement, Family Formation & Composition, Labor Market & Outcomes","Leibowitz, Arleen and Klerman, Jacob Alex.", Demography, 1995
How Much Can Informational Outreach Programs Increase Food Stamp Program Participation?,"Keywords: Food & Nutrition, Government Transfers, Poverty","Levedahl, J. William.", American Journal of Agricultural Economics, 1995
Shortand LongTerm Unemployment. A Parametric Model with TimeVarying Effects,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods","Portugal, Pedro and Addison, John T.", Oxford Bulletin of Economics and Statistics, 1995
Household Panel Studies: An Overview,"Keywords: International Studies, Survey Methodology","Rose, David.", Innovation: The European Journal of Social Sciences, 1995
Length of Stay On the Supplemental Security Income Disability Program,Keywords: Government Transfers,"Rupp, Kalman and Scott, Charles G.", Social Security Bulletin, 1995
